/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:132, loss:1.8756399154663086                                      
step:133, loss:1.979825735092163                                       
step:134, loss:1.7522201538085938                                      
step:135, loss:1.8070123195648193                                      
step:136, loss:1.7434864044189453                                      
step:137, loss:1.7766993045806885                                      
step:138, loss:1.8146897554397583                                      
step:139, loss:1.7899044752120972                                      
step:140, loss:1.9950541257858276                                      
step:141, loss:1.8572262525558472                                      
step:142, loss:1.915650486946106                                       
step:143, loss:1.7806026935577393                                      
step:144, loss:1.8426575660705566                                      
step:145, loss:1.8331563472747803                                      
step:146, loss:1.9966473579406738                                      
step:147, loss:1.9865195751190186                                      
step:148, loss:1.7775650024414062                                      
 15%|█▍        | 149/1000 [11:25<25:54,  1.83s/it, step=148, loss=1.78]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.493496192893401
acc 0.28275697969543145
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.48667653589933385
acc 0.2777572168763879
average testing 0.48667653589933385
average training 0.493496192893401
step:149, loss:1.8083412647247314                                      
step:150, loss:1.8875014781951904                                         
step:151, loss:1.9072242975234985                                         
step:152, loss:1.937602162361145                                          
step:153, loss:1.7551182508468628                                        
step:154, loss:1.7103749513626099                                        
step:155, loss:1.7208272218704224                                        
step:156, loss:1.9916999340057373                                        
step:157, loss:1.8850390911102295                                        
step:158, loss:1.9747384786605835                                        
step:159, loss:1.9177672863006592                                        
