/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:133, loss:3.073590040206909                                       
step:134, loss:3.1512529850006104                                      
step:135, loss:3.28068208694458                                        
step:136, loss:3.101832151412964                                       
step:137, loss:3.2033112049102783                                     
step:138, loss:2.9950742721557617                                     
step:139, loss:3.0144402980804443                                      
step:140, loss:3.3285512924194336                                      
step:141, loss:3.168707847595215                                       
step:142, loss:3.274260997772217                                       
step:143, loss:3.1929125785827637                                      
step:144, loss:3.126213550567627                                       
step:145, loss:3.0485527515411377                                      
step:146, loss:3.0993430614471436                                      
step:147, loss:3.0199992656707764                                      
step:148, loss:2.8540239334106445                                      
 15%|█▍        | 149/1000 [11:21<25:54,  1.83s/it, step=148, loss=2.85]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7269987336875219
acc 0.2839467005076142
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7356402713400094
acc 0.2979274611398964
average testing 0.7356402713400094
average training 0.7269987336875219
step:149, loss:3.2610602378845215                                      
step:150, loss:3.0923800468444824                                         
step:151, loss:2.973477840423584                                          
step:152, loss:3.2164015769958496                                         
step:153, loss:3.1924571990966797                                        
step:154, loss:3.310276508331299                                         
step:155, loss:3.173476219177246                                         
step:156, loss:3.2715744972229004                                        
step:157, loss:2.8153414726257324                                        
step:158, loss:3.1241581439971924                                        
step:159, loss:3.153618812561035                                         
step:160, loss:2.8543202877044678                                      
step:161, loss:3.13162899017334                                        
step:162, loss:3.054478883743286                                       
step:163, loss:2.981605291366577                                       
step:164, loss:3.006042003631592                                       
step:165, loss:3.130906581878662                                       
step:166, loss:3.4105515480041504                                      
step:167, loss:3.242424249649048                                       
step:168, loss:3.1377170085906982                                      
step:169, loss:3.3672432899475098                                      
step:170, loss:2.9345335960388184                                      
step:171, loss:3.2065558433532715                                      
step:172, loss:2.9877490997314453                                      
step:173, loss:3.4300198554992676                                      
step:174, loss:3.2522544860839844                                      
step:175, loss:3.125504970550537                                       
step:176, loss:3.119203805923462                                       
step:177, loss:3.1623806953430176                                      
step:178, loss:3.268275022506714                                       
step:179, loss:3.2349910736083984                                      
step:180, loss:3.3124423027038574                                      
